CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPRQHKOMLCDEFIAH00617481";1;5;2018;4;2;760;1;1;1;1
"TQRMNOPRRHKOLOCDEFIAH00623014";1;1;2018;4;2;667;1;1;2;1
"TQRMNOPRRHKOLOCDEFIAH00623014";1;2;2018;4;2;667;1;1;2;1
"TQRMNOPRRHKOLOCDEFIAH00623014";1;3;2018;4;2;667;1;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;1;2018;4;2;760;2;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;2;2018;4;2;760;2;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;3;2018;4;2;760;2;2;2;2
"TQRMNOPRRHKOMLCDEFIAH00617430";1;4;2018;4;2;760;2;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;5;2018;4;2;760;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;1;2018;4;2;663;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;2;2018;4;2;663;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;3;2018;4;2;663;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;4;2018;4;2;663;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;5;2018;4;2;663;2;2;2;2
"TQRMNOPRSHKNKMCDEFIAH00617423";1;6;2018;4;2;663;2;1;2;1
"TQRMNOPRSHKOLOCDEFIAH00617407";1;1;2018;4;2;667;2;1;2;1
"TQRMNOPRSHKOLOCDEFIAH00617407";1;2;2018;4;2;667;2;1;2;1
"TQRMNOPRSHKOLOCDEFIAH00617407";1;3;2018;4;2;667;2;1;2;1
"TQRMNOPRTHKOLOCDEFIAH00617451";1;3;2018;4;2;667;3;1;2;1
"TQRMNOPRTHKOLOCDEFIAH00617451";1;4;2018;4;2;667;3;2;2;1
"TQRMNOPRTHKOLOCDEFIAH00617451";1;5;2018;4;2;667;3;2;2;1
"TQRMNOPRTHMOLTCDEFIAH00594858";1;1;2018;4;2;923;1;1;2;1
"TQRMNOPRTHMOLTCDEFIAH00594858";1;2;2018;4;2;923;1;1;2;1
"TQRMNOPRTHMOLTCDEFIAH00594858";1;3;2018;4;2;923;1;2;2;2
"TQRMNOPRTHMOLTCDEFIAH00594858";1;4;2018;4;2;923;1;2;2;2
"TQRMNOPRUHKOLOCDEFIAH00617463";1;1;2018;4;2;667;1;2;2;1
"TQRMNOPRUHKOLOCDEFIAH00617463";1;2;2018;4;2;667;1;2;2;1
"TQRMNOPRUHKOLOCDEFIAH00617463";1;3;2018;4;2;667;1;2;2;1
