,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
154,TQRMNOPVTHJOKMCDEIHJF00626417,1,1,1,1,1,1
155,TQRMNOPVTHJOKMCDEIHJF00626417,1,1,1,1,1,1
156,TQRMNOPVTHJOKMCDEIHJF00626417,1,1,1,1,1,1
157,TQRMNOPVTHJOKMCDEIHJF00626417,1,1,1,1,1,1
158,TQRMNOPVTHLNKOCDEIHJF00626444,1,1,1,1,1,1
159,TQRMNOPVTHLNKOCDEIHJF00626444,1,1,1,1,1,1
160,TQRMNOPVTHLNKOCDEIHJF00626444,1,1,1,1,2,2
161,TQRMNOPVUHJOKMCDEIHJF00626396,1,1,1,1,1,1
162,TQRMNOPVUHLNKOCDEIHJF00609741,1,1,1,1,2,1
163,TQRMNOPVUHLNKOCDEIHJF00609741,1,1,1,1,1,1
164,TQRMNOPVUHLNKOCDEIHJF00609741,1,1,1,1,1,1
165,TQRMNOPVUHLNKOCDEIHJF00609741,1,1,1,1,2,2
166,TQRMNOPVUHLNKOCDEIHJF00609741,1,1,1,1,1,1
167,TQRMNOPVUHLOKNCDEIHJF00604227,1,1,1,1,1,1
168,TQRMNOPVUHLOKNCDEIHJF00604227,1,1,1,1,1,1
169,TQRMNOPVUHLOKNCDEIHJF00604227,1,1,1,1,1,1
170,TQRMNOPVVHJOKMCDEIHJF00626487,1,2,1,1,1,1
171,TQRMNOPVVHJOKMCDEIHJF00626487,1,2,1,1,1,1
172,TQRMNOPVVHJOKMCDEIHJF00626487,1,2,1,1,1,1
173,TQRMNOPVVHJOKMCDEIHJF00626487,1,2,1,1,1,1
174,TQRMNOPVVHJOKMCDEIHJF00626487,1,2,1,1,1,1
175,TQRMNOPWQHMMKNCDEIHJF00604142,1,1,1,1,1,1
176,TQRMNOPWQHMMKNCDEIHJF00604142,1,1,1,1,2,1
177,TQRMNOPWRHMMKNCDEIHJF00598529,1,1,1,1,1,1
178,TQRMNOPWRHMMKNCDEIHJF00598529,1,1,1,1,2,1
179,TQRMNOPWRHMMKNCDEIHJF00598529,1,1,1,1,2,1
180,TQRMNOPWRHMMKNCDEIHJF00598529,1,1,1,1,2,2
181,TQRMNOPWSHMMKNCDEIHJF00620965,1,1,1,1,1,1
182,TQRMNOPWSHMMKNCDEIHJF00620965,1,1,1,1,1,1
183,TQRMNOPWSHMMKNCDEIHJF00620965,1,1,1,2,1,2
184,TQRMNOPWSHMMKNCDEIHJF00620965,1,1,1,2,1,2
185,TQRMNOPWTHJMKSCDEIHJF00626447,1,1,1,2,2,1
186,TQRMNOPWTHJMKSCDEIHJF00626447,1,1,1,2,2,1
187,TQRMNOPWTHJMKSCDEIHJF00626447,1,1,1,1,1,1
188,TQRMNOPWTHJMKSCDEIHJF00626447,1,1,1,1,1,1
189,TQRMNOPWTHJMKSCDEIHJF00626447,1,1,1,1,1,1
190,TQRMNOPWTHMMKNCDEIHJF00598523,2,2,1,1,2,1
191,TQRMNOPWTHMMKNCDEIHJF00598523,2,2,1,1,2,1
192,TQRMNOPWUHMMKNCDEIHJF00598534,2,1,1,1,2,1
193,TQRMNOPWUHMMKNCDEIHJF00598534,2,1,1,1,1,1
194,TQRMNOPWUHMMKNCDEIHJF00598534,2,1,1,1,1,2
195,TQRMNOPWUHMMKNCDEIHJF00598534,2,1,1,1,1,2
196,TQRMNOPWVHLMKNCDEIHJF00626458,1,1,1,1,1,1
197,TQRMNOPWWHLMKNCDEIHJF00604150,1,1,1,1,1,1
198,TQRMNOPWXHJMKSCDEIHJF00626382,1,2,2,1,2,1
199,TQRMNOPWXHJMKSCDEIHJF00626382,1,2,2,1,2,2
200,TQRMNOPWXHJMKSCDEIHJF00626382,1,2,2,1,2,2
201,TQRMNOPWXHLMKNCDEIHJF00604133,1,1,1,1,1,1
202,TQRMNOPWXHLMKNCDEIHJF00604133,1,1,1,1,1,1
203,TQRMNOPWXHLMKNCDEIHJF00604133,1,1,1,1,1,1
204,TQRMNOPWXHLMKNCDEIHJF00604133,1,1,1,1,1,1
205,TQRMNOPWYHLNKPCDEIHJF00604225,1,1,1,1,1,1
206,TQRMNOPWYHLNKPCDEIHJF00604225,1,1,1,1,1,1
207,TQRMNOPWYHLNKPCDEIHJF00604225,1,1,1,1,1,1
208,TQRMNOPWYHLNKPCDEIHJF00604225,1,1,1,1,1,1
209,TQRMNOPXPHLNKPCDEIHJF00604201,1,1,1,1,1,1
210,TQRMNOPXPHLNKPCDEIHJF00604201,1,1,1,1,1,1
211,TQRMNOPXPHLNKPCDEIHJF00604201,1,1,1,1,1,1
212,TQRMNOPXPHLNKPCDEIHJF00604201,1,1,1,1,1,1
213,TQRMNOPXTHLOKRCDEIHJF00604156,1,1,1,1,1,1
214,TQRMNOPXTHLOKRCDEIHJF00604156,1,1,1,1,1,1
215,TQRMNOPXTHLOKRCDEIHJF00604156,1,1,1,1,1,2
